Country Name,FC Spread,LC Spread
Kenya,4.5%,4.50%
Ethiopia,4.5%,4.50%
Uganda,4.5%,4.50%
Zambia,4.5%,4.50%
South Africa,1.9%,1.90%
China,0.6%,0.60%
Japan,0.7%,0.70%
India,2.2%,2.20%
Vietnam,4.5%,4.50%
Thailand,1.6%,1.60%
Turkey,2.2%,2.20%
Russia,2.5%,2.50%
Ukranie,11.6%,11.55%
Poland,0.9%,0.85%
Argentina,7.5%,7.50%
Brazil,1.9%,1.90%
Mexico,1.2%,1.20%
Colombia,1.9%,1.90%
Peru,1.2%,1.20%
Egypet,6.5%,6.50%
Israel,0.7%,0.70%
Jordan,4.5%,4.50%
Kuwait,0.5%,0.50%
Morocco,2.5%,2.50%
Canada,0.0%,0.00%
U.S.,0.0%,0.00%
Germany,0.0%,0.00%
France,0.4%,0.40%
Switzerland,0.0%,0.00%
Greece,9.0%,9.00%
U.K.,0.4%,0.40%
