Country Name,LC Spread
Kenya,0.0450
Ethiopia,0.0450
Uganda,0.0450
Zambia,0.0450
South Africa,0.0190
China,0.0060
Japan,0.0070
India,0.0220
Vietnam,0.0450
Thailand,0.0160
Turkey,0.0220
Russia,0.0250
Ukraine,0.1155
Poland,0.0085
Argentina,0.0750
Brazil,0.0190
Mexico,0.0120
Colombia,0.0190
Peru,0.0120
Egypt,0.0650
Israel,0.0070
Jordan,0.0450
Kuwait,0.0050
Morocco,0.0250
Canada,0.0000
U.S.,0.0000
Germany,0.0000
France,0.0040
Switzerland,0.0000
Greece,0.0900
U.K.,0.0040
